REFCODE;GFN2;PM7;PM6
ABEMEB;0.5488;0.5616;0.7358
ABFERC10;0.1829;0.9957;1.8094
ABIGAU;0.0809;0.1808;0.3233
ABIJEA;0.1123;0.2139;0.4095
ABISOV;0.3321;0.3985;0.621
ABISOV02;0.217;0.2626;0.5712
ABITEM;0.5342;0.4714;1.014
ABONOU;0.0698;0.1652;0.1445
ABOYOF;0.1882;0.2011;0.7693
ABOYUL;0.3112;0.2841;0.4361
ABUBEH;0.5094;0.3436;0.2916
ACAHIV;0.1698;0.3325;0.9603
ACAHUJ;0.2445;0.3819;0.4547
ACAHUJ02;0.3242;0.4859;0.5202
ACAKOF;0.1387;0.1404;0.3478
ACAKOF01;0.0364;0.0255;0.3349
ACECFE11;0.6728;0.2987;1.5476
ACEDIV;0.3976;0.4172;0.4031
ACEMEA;0.1511;0.3717;0.3064
ACEMIF;0.7864;0.6554;0.941
ACFCFE;0.2554;0.4042;0.3548
ACIBEV;0.551;0.8123;0.6184
ACIBOF;0.1532;1.8632;0.3273
ACNCFE;0.1168;0.2274;0.5861
ACOCEB;0.3225;0.2025;0.3478
ACODUR;0.248;0.2688;0.3815
ACUPUK;0.3815;0.5015;1.0088
ACUQAR;0.1714;0.2888;0.525
ACUZII01;0.1416;0.1027;1.1489
ADEJIE;0.5033;0.3601;0.4882
ADEJOK;0.1996;0.3198;1.3935
ADEQIL;0.1606;0.1012;0.457
ADEWIR;1.3245;1.0649;1.5689
ADIGAV;0.4141;0.9291;1.3773
ADIGIF;0.162;0.5795;0.2962
ADIPOS;0.2231;0.991;0.4262
ADIQAF;0.2599;0.43;0.9112
ADIQEJ;0.2576;0.4124;0.3278
ADITEM;0.5848;1.9754;0.2243
ADOPAK;0.1944;0.3673;0.6691
ADOPEO;0.2138;0.3615;0.6153
ADUXIG;0.2486;1.1598;0.5702
ADUXUS;0.277;0.5443;0.4941
ADUXUU;0.2665;0.4327;0.2033
AFAMIE;0.1619;0.4392;0.691
AFAQIJ;0.2843;0.8454;1.4888
AFAQOP;0.245;0.4119;0.4257
AFEJOM;1.0833;0.3984;0.9881
AFEMII;0.5988;0.4254;0.3602
AFEROP;0.9001;0.7172;0.6247
AFIMIM;0.2282;0.3911;1.1389
AFONAK;1.5066;0.4052;0.4854
AFORAO;0.121;0.319;0.563
AFORES;0.1289;0.2098;0.4235
AFORIW;0.1794;0.4856;0.3978
AFOROC;0.1656;0.2362;0.4919
AFUBOU;0.8607;1.2172;1.2666
AFUBUA;0.497;1.9162;0.8839
AFUGIS;0.521;0.4744;1.0524
AFUXUV;0.7328;0.7687;0.7167
AFUYAC;0.3073;0.3012;0.5926
AFUYAD;0.6055;0.7437;1.0243
AGAWUB;0.2021;0.5663;0.8257
AGAZUE;0.0948;0.1476;0.2968
AGEHUQ;0.412;0.4706;1.5002
AGESOV;0.602;0.464;0.7178
AGEYIU;0.2541;0.4035;0.804
AGEYOA;0.2124;0.3985;0.7424
AGIBIB;0.6416;0.748;0.8807
AGUDIQ;0.3115;0.5437;0.5676
AGUGIS;0.596;0.5473;1.0168
AGUGOY;0.5129;1.2092;1.2392
AGUYUW;0.2117;0.6762;0.2957
AHEJUT;0.5741;0.3634;0.5362
AHEKOO;0.4286;0.1121;0.4516
AHENUY;0.4434;0.5246;1.5913
AHEYOD;0.1634;0.3542;0.1763
AHEYUJ;0.1285;0.2161;0.3429
AHEZOE;1.3252;1.8338;1.9058
AHEZUK;0.1245;0.3223;1.3171
AHIBAW;0.2155;1.2576;1.9453
AHIBAW01;0.3198;0.7547;0.6945
AHIBIE;0.4261;1.1315;2.176
AHIBOK;0.6439;1.2714;1.2428
AHIHIJ;0.3419;0.445;0.8091
AHOBOP;0.8892;2.1293;1.3911
AHODIM;0.6153;1.1892;1.6813
AHOHIP;0.1384;0.2195;0.5029
AHOPET;0.5792;0.6861;0.4872
AHUBUC;0.3033;0.1826;0.1866
AHUCAJ;0.1201;0.3436;1.1031
AHUGOA;0.4649;0.3932;1.2578
AHUGOA02;0.4331;0.3891;1.2512
AHUKIZ;0.5261;0.655;0.6992
AJALED;0.3728;0.5837;0.3644
AJALIH;0.3087;0.5576;0.5611
AJAWOX;0.7273;1.2312;1.1833
AJEFIG;0.7314;1.0101;1.2703
AJEKOP;0.3695;0.4493;0.7101
AJIMIQ;0.4635;0.4314;0.3697
AJIWUN;0.6869;1.2778;1.0454
AJIXAU;0.5173;0.4704;1.2915
AJIZEZ;0.197;0.245;0.1464
AJIZID;0.2688;0.5011;1.0053
AJIZUP;0.1678;0.6857;0.534
AJUJOE;1.589;0.9854;0.7462
AJUQON;0.2811;0.7887;0.8533
AJUSIJ;0.1129;0.6234;1.0153
AJUZEL;0.1331;0.205;0.1037
AKALUU;0.2913;1.0543;1.2592
AKAZAN;0.2486;0.3375;0.8313
